"q_id";"o_id";"o_title";"o_ans"
"AG101";"B";"The team determines iteration (timebox) length by dividing the total number of story point";"N"
"AG101";"C";"Iterations (timeboxes) should always be two weeks";"N"
"AG101";"D";"The team should agree on the length of the iteration (timebox), taking the size and comple";"Y"
"AG102";"A";"Task focused";"N"
"AG102";"B";"Process oriented";"N"
"AG102";"C";"Supportive";"Y"
"AG102";"D";"Disengaged";"N"
"AG103";"A";"Product Owner";"Y"
"AG103";"B";"Project Manager";"N"
"AG103";"C";"Lead Developer";"N"
"AG103";"D";"Business Analyst";"N"
"AG105";"A";"Tester";"N"
"AG105";"B";"Project Leader";"Y"
"AG105";"C";"Functional Manager";"N"
"AG105";"D";"Developer";"N"
"AG106";"A";"High trust teams do not have to be accountable to each other";"N"
"AG106";"B";"High trust teams do not require a user representative";"N"
"AG106";"C";"The Project Manager does not then have to keep a project schedule";"N"
"AG106";"D";"The presence of trust is positively correlated with the team performance";"Y"
"AG107";"A";"Involve the whole project team in all project workshops";"N"
"AG107";"B";"Agree the process and participants of the workshop with the workshop owner before the work";"Y"
"AG107";"C";"Involve only those team members who will commit to doing further work after the workshop";"N"
"AG107";"D";"Act as a proxy for any invited participant who is unable to attend the workshop on the day";"N"
"AG108";"A";"Planning is not part of an Agile approach, because Agile is exploratory";"N"
"AG108";"B";"Planning should be done in detail at the outset of a project and not revisited";"N"
"AG108";"C";"Planning should involve the whole team, not just the Project Manager";"Y"
"AG108";"D";"Planning should all be done by the Project Manager";"N"
"AG109";"A";"The individual end-users";"N"
"AG109";"B";"The Product Owner";"Y"
"AG109";"C";"The Business Analyst";"N"
"AG109";"D";"The Business Sponsor";"N"
"AG110";"A";"The developers alone (they know what the customer wants)";"N"
"AG110";"B";"The Product Owner (the developers would only choose the easy things as top priority)";"N"
"AG110";"C";"The Project Leader (they can give an independent, pragmatic view)";"N"
"AG110";"D";"The whole team including Product Owner and developers (together they can consider both bus";"Y"
"AG111";"A";"It removes the need to create any other reports for management";"N"
"AG111";"B";"It continuously communicates progress within the team and to other stakeholders";"Y"
"AG111";"C";"It allows the Project Manager to allocate tasks to specific team members";"N"
"AG111";"D";"It is restrictive, as it does not allow the team to innovate and change";"N"
"AG112";"A";"The Team Leader (Scrum Master) should allocate specific tasks to individuals";"N"
"AG112";"B";"Tasks should be randomly allocated to team members, using Planning Poker";"N"
"AG112";"C";"Team members should self-select tasks appropriate to their skills";"Y"
"AG112";"D";"The most complex tasks should be allocated by the Team Leader (Scrum Master)";"N"
"AG113";"A";"Continue the work, record the assumptions and ask the customer later for input.";"N"
"AG113";"B";"Send the customer a written warning that the end product will be completed on time, but ma";"N"
"AG113";"C";"Allow the Business Analyst to take on the role of Proxy Customer Representative";"N"
"AG113";"D";"Draw the problem to the attention of the Scrum Master (Team Leader)";"Y"
"AG114";"A";"System documentation created at the end of each increment, at the start of the deployment";"N"
"AG114";"B";"User Stories held in a spreadsheet or specialist database, where full details of user conv";"N"
"AG114";"C";"User Story cards containing only enough detail for planning and development, which will ne";"Y"
"AG114";"D";"No written documentation, as all good communication is face-to-face";"N"
"AG115";"A";"Empower the team members, within appropriate limits";"Y"
"AG115";"B";"Encourage an environment of competition and personal advantage";"N"
"AG115";"C";"Give clear directives to the team about what they should do and how";"N"
"AG115";"D";"Expect team members to be proactive and each work to their own priorities and objectives";"N"
"AG116";"A";"The team should allow only senior managers to sign off deliverables";"N"
"AG116";"B";"The team should get acceptance of project deliverables from the appropriate stakeholders a";"Y"
"AG116";"C";"The team should get acceptance of project deliverables from the users during a UAT phase a";"N"
"AG116";"D";"Acceptance of any particular deliverable on the project is gained from all stakeholders at";"N"
"AG117";"A";"The products produced by an Agile project should be cheaper than those produced by any oth";"N"
"AG117";"B";"The products will be more expensive than by any other approach but will be top quality";"N"
"AG117";"C";"The products will be fit for purpose, but may not do what the customer wanted";"N"
"AG117";"D";"The products will be of appropriate quality, as guided by the customer representative invo";"Y"
"AG118";"A";"A big design up front is always a good idea";"N"
"AG118";"B";"Just enough design up front gives a good foundation to start from and helps to mitigate ri";"Y"
"AG118";"C";"No design up front is the best approach as most of the fun of a project is in discovery of";"N"
"AG118";"D";"Design has no place in an Agile project";"N"
"AG119";"A";"Get something ?quick and dirty? delivered, to save time";"N"
"AG119";"B";"Get something simple released as quickly as possible";"N"
"AG119";"C";"Get something business-valuable delivered as quickly as possible, consistent with the righ";"Y"
"AG119";"D";"Get something delivered once it has been fully documented and the documentation has been s";"N"
"AG120";"A";"The team should plan to work a small amount of overtime regularly throughout the project";"N"
"AG120";"B";"The team should expect to work longer hours towards the end of the sprint (timebox), in or";"N"
"AG120";"C";"The team should strive for a sustainable pace and a normal working week";"Y"
"AG120";"D";"The team will ?burn out? if they have to work overtime for more than two sprints (timeboxe";"N"
"AG121";"A";"All project stakeholders should attend requirements workshops";"N"
"AG121";"B";"Retrospectives are only run at the end of a project";"N"
"AG121";"C";"It is best if the Project Manager facilitates the project?s workshops";"N"
"AG121";"D";"An independent facilitator will manage the structure of a facilitated workshop but not inp";"Y"
"AG122";"A";"Everyone is expected to stand for the whole time, to keep the meeting short";"N"
"AG122";"B";"The meeting must be kept short and well structured";"Y"
"AG122";"C";"The meeting should ensure that it is clear to all which team members are not performing";"N"
"AG122";"D";"No-one is allowed to leave the stand-up meeting until all problems raised have been solved";"N"
"AG123";"A";"Sponsor and Executive Management only";"N"
"AG123";"B";"Project Manager and Technical Leads only";"N"
"AG123";"C";"Project Leader and Customer Representatives only";"N"
"AG123";"D";"The entire team";"Y"
"AG124";"A";"Storming";"Y"
"AG124";"B";"Warming";"N"
"AG124";"C";"Cloning";"N"
"AG124";"D";"Yawning";"N"
"AG125";"A";"Be fully involved in the estimating process";"Y"
"AG125";"B";"Be in total control of the estimating process";"N"
"AG125";"C";"Be consulted after the Team Leader (Scrum Master) has made the estimates for the team?s wo";"N"
"AG125";"D";"Not make estimates unless velocity is already known";"N"
"AG126";"A";"Able to contact the customer to clarify aspects of the work";"Y"
"AG126";"B";"Completely uninterrupted by the customer";"N"
"AG126";"C";"In twice-daily contact with the customer";"N"
"AG126";"D";"Able to work without needing to disturb the customer";"N"
"AG127";"A";"A product of a professional quality which fits the business need";"Y"
"AG127";"B";"A product of almost as good a quality as a Waterfall development";"N"
"AG127";"C";"A product which is barely sufficient for its purpose and deliberately not maintainable";"N"
"AG127";"D";"A technically-perfect, re-factored solution";"N"
"AG128";"A";"Must have a thorough understanding of Agile techniques, for Agile to work";"N"
"AG128";"B";"Will always receive lower-quality products than their non-Agile counterparts";"N"
"AG128";"C";"Will typically get business value delivered early and often";"Y"
"AG128";"D";"Will need to understand the technical aspects of development, to contribute effectively";"N"
"AG129";"A";"Is self-organizing, with each member having the same technical skills";"N"
"AG129";"B";"Collaborates and supports its team members";"Y"
"AG129";"C";"Ensures that weak members of the team are allocated the simpler tasks";"N"
"AG129";"D";"Ensures blame is allocated fairly";"N"
"AG130";"A";"Encourages the team to meet regularly";"Y"
"AG130";"B";"Has no meetings";"N"
"AG130";"C";"Has lengthy reporting requirements";"N"
"AG130";"D";"Has no reporting requirements";"N"
"AG131";"A";"Should allocate tasks to the team members each day at the stand-up meeting";"N"
"AG131";"B";"Should involve the team in their own work-allocation";"Y"
"AG131";"C";"Should give detailed work-plans to the team each day";"N"
"AG131";"D";"Should direct the work of the team, if they are inexperienced";"N"
"AG132";"A";"A list of activities banned by the team, in relation to Team Norms";"N"
"AG132";"B";"The set of Can Have stories for a project";"N"
"AG132";"C";"A visible chart of work to do, work in progress and work done";"Y"
"AG132";"D";"A graph of tasks partially-completed by the team";"N"
"AG133";"A";"Teams work less well when it rains";"N"
"AG133";"B";"Keeping metrics of earlier work to help with future estimates";"Y"
"AG133";"C";"Retrospectives should include less important topics, such as the weather, as ice-breakers";"N"
"AG133";"D";"Estimating is as futile as predicting the weather";"N"
"AG134";"A";"It creates a better relationship between the developers and customer representatives";"N"
"AG134";"B";"Many projects are evolutionary, and a better solution emerges this way";"Y"
"AG134";"C";"It is time-consuming to analyse everything at the beginning of a project";"N"
"AG134";"D";"It prevents late delivery of the project";"N"
"AG135";"A";"No design up front";"N"
"AG135";"B";"Big design up front";"N"
"AG135";"C";"Just enough design up front";"Y"
"AG135";"D";"Use a previous design ? it will be ?good enough?";"N"
"AG136";"A";"The Agile Leader might lose their job, as the team is doing all the work";"N"
"AG136";"B";"If the team fails, the Agile leader will not get a performance bonus";"N"
"AG136";"C";"The Agile Leader has less direct control over the team?s work, but still has the responsib";"Y"
"AG136";"D";"The Agile Leader cannot share the glory of team success";"N"
"AG137";"A";"Do no documentation because it is a waste of time";"N"
"AG137";"B";"Do sufficient documentation to prove you have done a good job";"N"
"AG137";"C";"Do the necessary documentation to support the development and use of the product";"Y"
"AG137";"D";"Do more documentation than usual, because Agile is risky";"N"
"AG138";"A";"To produce working product of the right quality, early and incrementally";"Y"
"AG138";"B";"To produce working product after documentation has been signed off";"N"
"AG138";"C";"To produce simple prototypes early, but no finished product until the end of the project";"N"
"AG138";"D";"To produce products without technical integrity, but re-engineer later";"N"
"AG139";"A";"Has no control over the prioritization of delivered features";"N"
"AG139";"B";"Has total control over the prioritization of features";"N"
"AG139";"C";"Collaborates with the developers over prioritization of features, but the developers have ";"N"
"AG139";"D";"Collaborates with the developers over prioritization of features, but the business has the";"Y"
"AG140";"A";"May have";"N"
"AG140";"B";"Major";"N"
"AG140";"C";"Must Have";"Y"
"AG140";"D";"Mandatory";"N"
"AG141";"A";"Collective";"N"
"AG141";"B";"Collaborative";"Y"
"AG141";"C";"Connective";"N"
"AG141";"D";"Contemplative";"N"
"AG142";"A";"Directive";"N"
"AG142";"B";"Assertive";"N"
"AG142";"C";"Facilitative";"Y"
"AG142";"D";"Feature-based";"N"
"AG143";"A";"People are more important than contracts";"N"
"AG143";"B";"Working software should have priority over comprehensive documentation";"Y"
"AG143";"C";"Plans should have priority over ability to respond";"N"
"AG143";"D";"Contracts should be negotiated which allow control over the people";"N"
"AG145";"A";"If the team members work long hours regularly they will get used to it, and be able to sus";"N"
"AG145";"B";"A 40 hour week is only for the weaker members of the team. Others can do more.";"N"
"AG145";"C";"The team should establish a velocity which can be sustained within normal working hours";"Y"
"AG145";"D";"Working long hours is the only way to deliver on time";"N"
"AG146";"A";"The energy level and velocity of the team";"N"
"AG146";"B";"The remaining work (effort, points) to complete before the iteration (timebox) end";"Y"
"AG146";"C";"The number of hours worked by each team member during the iteration (timebox)";"N"
"AG146";"D";"The rate of spending of the budget for a project";"N"
"AG147";"A";"It allows the team to take a necessary break from work";"N"
"AG147";"B";"It gives management information to use in team members? performance reviews";"N"
"AG147";"C";"It allows learning which can be used to improve team performance during the project";"Y"
"AG147";"D";"It prevents deviation from the process which the team has been following";"N"
"AG148";"A";"Plans should never be changed";"N"
"AG148";"B";"It is normal to need to plan and re-plan as the project progresses";"Y"
"AG148";"C";"Plans should only be changed with full approval of all stakeholders";"N"
"AG148";"D";"Plans are not required as Agile is incremental";"N"
"AG149";"A";"Should have no control over its progress";"N"
"AG149";"B";"Should be able to demonstrate control of its progress";"Y"
"AG149";"C";"Is always out of control";"N"
"AG149";"D";"Is controlled by the velocity of the most junior team member";"N"
"AG150";"A";"Occasional early deliveries, if the business is prepared to accept lower quality";"N"
"AG150";"B";"A regular pattern of delivery of developer-focused products";"N"
"AG150";"C";"A regular pattern of delivery of business-valued increments";"Y"
"AG150";"D";"An irregular and unpredictable delivery of products";"N"
"AG151";"A";"It should be encouraged to celebrate success only when the project is over";"N"
"AG151";"B";"It should be encouraged to celebrate even small successes immediately";"Y"
"AG151";"C";"It should not celebrate success, as this wastes project budget";"N"
"AG151";"D";"It should not celebrate success, as this makes less successful teams feel bad";"N"
"AG152";"A";"Keep team-size large, to avoid stakeholders feeling left out";"N"
"AG152";"B";"Break the project into small, mixed-skill, self-organising teams";"Y"
"AG152";"C";"Operate with one team of less than 10 people";"N"
"AG152";"D";"Operate with separate customer, developer and test teams";"N"
"AG153";"A";"Automatically included in the work of the project";"N"
"AG153";"B";"Automatically excluded and left until a later project or increment";"N"
"AG153";"C";"Assessed for importance and, if sufficiently important to the business, included in the pr";"Y"
"AG153";"D";"Put on the backlog for consideration by the wider group of stakeholders after the project ";"N"
"AG154";"A";"Ensure testers define their entry criteria for quality, which they impose on the developme";"N"
"AG154";"B";"Nothing. Prescribed roles such as technical coordinators are not part of an Agile team";"N"
"AG154";"C";"Make sure that the maintainability quality attribute is addressed";"Y"
"AG154";"D";"On time delivery and happy end users are the only quality measures in Agile development";"N"
"AG156";"A";"Agile teams have the empowerment to frequently respond to change and to learn on a project";"Y"
"AG156";"B";"The rate of development progress on an Agile project is constantly tracked to allow adapta";"N"
"AG156";"C";"Project Managers are not needed in Agile methods because teams are self-organising";"N"
"AG156";"D";"Workshops held at the beginning and the end of every iteration (timebox) allow the team to";"N"
"AG157";"A";"A prescribed, fixed iteration (timebox) length";"N"
"AG157";"B";"Iterative development and incremental delivery";"Y"
"AG157";"C";"A strict focus on on-time delivery";"N"
"AG157";"D";"A large set of clearly defined roles";"N"
"AG158";"A";"None. It's basically the same. Scrum Master (or Team Leader) is just a better term than Pr";"N"
"AG158";"B";"The Project Manager creates the detailed delivery plans while the Team Leader monitors exe";"N"
"AG158";"C";"Project Manager communicates with project governance authorities when necessary";"Y"
"AG158";"D";"The Project Manager monitors the realisation of benefits in the business case.";"N"
"AG159";"A";"End users should NOT be in the development team. Requirements are always communicated to t";"N"
"AG159";"B";"The End User Representative will be solely responsible for acceptance tests within the tea";"N"
"AG159";"C";"The End User Representative assures that user stories are documented properly";"N"
"AG159";"D";"The End User Representative will be able to clearly tell the developers what will work for";"Y"
"AG160";"A";"Business processes diagramming";"N"
"AG160";"B";"Prioritizing requirements";"Y"
"AG160";"C";"Managing the project budget";"N"
"AG160";"D";"All of these";"N"
"JA100";"A";"1 2 3";"Y"
"JA100";"B";"Compilation fails because of an error in line 12";"N"
"JA100";"C";"Compilation fails because of an error in line 14";"N"
"JA100";"D";"A ClassCastException is thrown at runtime";"N"
"JA101";"A";"Yes";"N"
"JA101";"B";"No";"Y"
"JA102";"A";"At line 1, constructor Tester must be marked public like its class";"N"
"JA102";"B";"At line 2, constructor call ""this()"" can only be called inside constructors";"Y"
"JA102";"C";"At line 3, compilation error, ambiguity problem, compiler can""t determine wether a constru";"N"
"JA102";"D";"There is no error";"N"
"JA103";"A";"error ! can't assign an int to a byte";"Y"
"JA103";"B";"b=100";"N"
"JA103";"C";"b=50";"N"
"JA104";"A";"import pkg.*;";"N"
"JA104";"B";"import pkg.Signal;";"Y"
"JA104";"C";"import static pkg.Signal;";"N"
"JA104";"D";"static import pkg.Signal;";"N"
"JA105";"A";"package, import, class";"Y"
"JA105";"B";"class, import, package";"N"
"JA105";"C";"import, package, class";"N"
"JA105";"D";"package, class, import";"N"
"JA106";"A";"The name of the program";"N"
"JA106";"B";"The number of arguments";"N"
"JA106";"C";"The first argument if one is present";"Y"
"JA107";"A";"Compiles and runs with no output";"N"
"JA107";"B";"Compiles and runs printing out The age is 1";"N"
"JA107";"C";"Compiles but generates a runtime error";"N"
"JA107";"D";"Does not compile";"Y"
"JA107";"E";"Compiles but generates a compile time error";"N"
"JA108";"A";"?a?";"Y"
"JA108";"B";"?a?";"N"
"JA108";"C";"new Character(a)";"N"
"JA108";"D";"\000a";"N"
"JA109";"A";"0 - 65, 535";"N"
"JA109";"B";"(?128) ? 127";"Y"
"JA109";"C";"(?32,768) ? 32,767";"N"
"JA109";"D";"(?256) ? 255";"N"
"JA110";"A";"int i = 32;";"N"
"JA110";"B";"float f = 45.0;";"Y"
"JA110";"C";"double d = 45.0;";"N"
"JA111";"A";"public abstract void add();";"Y"
"JA111";"B";"public abstract void add() {}";"N"
"JA111";"C";"public abstract add();";"N"
"JA111";"D";"public virtual add();";"N"
"JA112";"A";"When you define any class";"N"
"JA112";"B";"When the class has no other constructors";"Y"
"JA112";"C";"When you define at least one constructor";"N"
"JA113";"A";"public void Test() {?}";"N"
"JA113";"B";"public Test() {?}";"Y"
"JA113";"C";"public static Test() {?}";"N"
"JA113";"D";"public static void Test() {?}";"N"
"JA114";"A";"throw Exception";"N"
"JA114";"B";"throws Exception";"Y"
"JA114";"C";"new Exception";"N"
"JA114";"D";"Don't need to specify anything";"N"
"JA115";"A";"Prints out: Exception Finally";"Y"
"JA115";"B";"Prints out: Finally";"N"
"JA115";"C";"Prints out: Exception";"N"
"JA115";"D";"No output";"N"
"JA116";"A";"void";"Y"
"JA116";"B";"int";"N"
"JA116";"C";"Can be anything";"N"
"JA117";"A";"Anywhere";"N"
"JA117";"B";"The first statement in the constructor";"Y"
"JA117";"C";"The last statement in the constructor";"N"
"JA117";"D";"You can't call super in a constructor";"N"
"JA118";"A";"The top level class";"N"
"JA118";"B";"The Object class";"Y"
"JA118";"C";"Any class or interface";"N"
"JA118";"D";"It must extend an interface";"N"
"JA119";"A";"Runnable";"Y"
"JA119";"B";"Run";"N"
"JA119";"C";"Threadable";"N"
"JA119";"D";"Thread";"N"
"JA119";"E";"Executable";"N"
"JA120";"A";"init();";"N"
"JA120";"B";"start();";"Y"
"JA120";"C";"run();";"N"
"JA120";"D";"resume();";"N"
"JA120";"E";"sleep();";"N"
"JA121";"A";"If a notify() method has already been sent to that object then it has no effect";"N"
"JA121";"B";"The object issuing the call to wait() will halt until another object sends a notify() or
n";"Y"
"JA121";"C";"An exception will be raised";"N"
"JA121";"D";"The object issuing the call to wait() will be automatically synchronized with any other ob";"N"
"JA122";"A";"setLayout(aLayoutManager);";"Y"
"JA122";"B";"addLayout(aLayoutManager);";"N"
"JA122";"C";"layout(aLayoutManager);";"N"
"JA122";"D";"setLayoutManager(aLayoutManager);";"N"
"JA123";"A";"add(component);";"Y"
"JA123";"B";"add(""Center"", component);";"N"
"JA123";"C";"add(x, y, component);";"N"
"JA123";"D";"set(component);";"N"
"JA124";"A";"FocusListener";"N"
"JA124";"B";"ComponentListener";"N"
"JA124";"C";"WindowListener";"N"
"JA124";"D";"ActionListener";"Y"
"JA124";"E";"ItemListener";"N"
"JA125";"A";"boolean";"N"
"JA125";"B";"the type of event handled";"N"
"JA125";"C";"void";"Y"
"JA125";"D";"Component";"N"
"JA126";"A";"paint()";"N"
"JA126";"B";"repaint()";"Y"
"JA126";"C";"paint(Graphics)";"N"
"JA126";"D";"update(Graphics)";"N"
"JA126";"E";"None ? you should never cause paint(Graphics) to execute";"N"
"JA127";"A";"The data is appended to the file";"N"
"JA127";"B";"The file is replaced with a new file";"Y"
"JA127";"C";"An exception is raised as the file already exists";"N"
"JA127";"D";"The data is written to random locations within the file";"N"
"JA128";"A";"An IndexOutOfBounds exception is raised";"N"
